query_id	subject_id	n_of_mismatches	e_value	bit_score	name	gene	number1	cog	involve	mission	bacteria	NC_000964	medium	locus	gene_ontology	p
OHDNGLAN_00003	DEG10050429	125	1.44e-11	58.5	DEG1005	gcvA	16273646	COG0583K	-	transcription activator	Haemophilus influenzae Rd KW20	NC_000907	Rich medium	-	GO:0005737 GO:0003677 GO:0003700 GO:0006351	P45099
OHDNGLAN_00004	DEG10050640	7	1.0200000000000001e-167	457.0	DEG1005	HI1738	16273622	COG1296E	-	hypothetical protein	Haemophilus influenzae Rd KW20	NC_000907	Rich medium	-	GO:0016021 GO:0005886 GO:0006810	P44302
OHDNGLAN_00005	DEG10050639	2	1.02e-75	214.0	DEG1005	HI1737	16273621	COG1687E	-	hypothetical protein	Haemophilus influenzae Rd KW20	NC_000907	Rich medium	-	GO:0016021 GO:0005886	P44301
OHDNGLAN_00007	DEG10050638	9	0.0	1072.0	DEG1005	prfC	16273619	COG4108J	-	peptide chain release factor 3	Haemophilus influenzae Rd KW20	NC_000907	Rich medium	-	GO:0005737 GO:0005525 GO:0003924 GO:0016149 GO:0006449	P43928
OHDNGLAN_00008	DEG10050637	3	0.0	532.0	DEG1005	fabI	30995476	COG0623I	-	enoyl reductase	Haemophilus influenzae Rd KW20	NC_000907	Rich medium	-	GO:0004318 GO:0030497 GO:0051289	P44432
OHDNGLAN_00009	DEG10050636	22	0.0	1332.0	DEG1005	rnb	16273617	COG4776K	-	exoribonuclease II	Haemophilus influenzae Rd KW20	NC_000907	Rich medium	-	GO:0005737 GO:0008859 GO:0003723 GO:0006402	P44440
OHDNGLAN_00010	DEG10050635	2	4.95e-159	433.0	DEG1005	HI1731	16273616	COG2049E	-	hypothetical protein	Haemophilus influenzae Rd KW20	NC_000907	Rich medium	-	-	P44299
OHDNGLAN_00013	DEG10050634	5	0.0	770.0	DEG1005	HI1728	16273614	COG1914P	-	hypothetical protein	Haemophilus influenzae Rd KW20	NC_000907	Rich medium	-	GO:0016021 GO:0005886 GO:0005215	O05087
OHDNGLAN_00015	DEG10050633	2	0.0	594.0	DEG1005	purC/hemH	30995475	COG0152F	-	phosphoribosylaminoimidazole-succinocarboxamide synthase	Haemophilus influenzae Rd KW20	NC_000907	Rich medium	-	GO:0005524 GO:0004639 GO:0006189	P43851
OHDNGLAN_00016	DEG10050632	5	0.0	1604.0	DEG1005	mrcB/ponB	16273611	COG0744M	-	penicillin-binding protein 1B	Haemophilus influenzae Rd KW20	NC_000907	Rich medium	-	GO:0009274 GO:0005886 GO:0008658 GO:0008233 GO:0008955 GO:0016763 GO:0071555 GO:0009252 GO:0008360 GO:0046677	P45345
