query_id	subject_id	n_of_mismatches	e_value	bit_score	name	gene	number1	cog	involve	mission	bacteria	NC_000964	medium	locus	gene_ontology	p
BOLPKDDJ_00001	DEG10510001	0	0.0	1051.0	DEG1051	dnaA	Protein_ID: AAG03391.1	-	-	chromosomal replication initiator protein DnaA	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0001	-	-
BOLPKDDJ_00002	DEG10510002	0	0.0	739.0	DEG1051	dnaN	Protein_ID: AAG03392.1	-	-	DNA polymerase III, beta chain	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0002	-	-
BOLPKDDJ_00004	DEG10510003	0	0.0	1668.0	DEG1051	gyrB	Protein_ID: AAG03394.1	-	-	DNA gyrase subunit B	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0004	-	-
BOLPKDDJ_00006	DEG10510004	0	4.0699999999999997e-131	359.0	DEG1051	-	Protein_ID: AAG03396.1	-	-	conserved hypothetical protein	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0006	-	-
BOLPKDDJ_00008	DEG10510005	0	0.0	1367.0	DEG1051	glyS	Protein_ID: AAG03398.1	-	-	glycyl-tRNA synthetase beta chain	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0008	-	-
BOLPKDDJ_00009	DEG10510006	0	0.0	653.0	DEG1051	glyQ	Protein_ID: AAG03399.1	-	-	glycyl-tRNA synthetase alpha chain	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0009	-	-
BOLPKDDJ_00018	DEG10510007	0	0.0	625.0	DEG1051	fmt	Protein_ID: AAG03408.1	-	-	methionyl-tRNA formyltransferase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0018	-	-
BOLPKDDJ_00019	DEG10510008	0	4.88e-126	345.0	DEG1051	def	Protein_ID: AAG03409.1	-	-	polypeptide deformylase	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0019	-	-
BOLPKDDJ_00022	DEG10510009	0	2.01e-136	373.0	DEG1051	-	Protein_ID: AAG03412.1	-	-	conserved hypothetical protein	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0022	-	-
BOLPKDDJ_00024	DEG10510010	0	0.0	627.0	DEG1051	hemF	Protein_ID: AAG03414.1	-	-	coproporphyrinogen III oxidase, aerobic	Pseudomonas aeruginosa PAO1	AE004091	LB agar, MOPS-pyruvate agar and Cystic fibrosis sputum agar	locus_tag:PA0024	-	-
