locus_tag	ftype	length_bp	gene	EC_number	COG	product
BOLPKDDJ_00001	gene	1545	dnaA			
BOLPKDDJ_00001	mRNA	1545	dnaA			
BOLPKDDJ_00001	CDS	1545	dnaA		COG0593	Chromosomal replication initiator protein DnaA
BOLPKDDJ_00002	gene	1104	dnaN			
BOLPKDDJ_00002	mRNA	1104	dnaN			
BOLPKDDJ_00002	CDS	1104	dnaN		COG0592	Beta sliding clamp
BOLPKDDJ_00003	gene	1110	recF			
BOLPKDDJ_00003	mRNA	1110	recF			
BOLPKDDJ_00003	CDS	1110	recF		COG1195	DNA replication and repair protein RecF
BOLPKDDJ_00004	gene	2421	gyrB			
BOLPKDDJ_00004	mRNA	2421	gyrB			
BOLPKDDJ_00004	CDS	2421	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
BOLPKDDJ_00005	gene	774				
BOLPKDDJ_00005	mRNA	774				
BOLPKDDJ_00005	CDS	774				hypothetical protein
BOLPKDDJ_00006	gene	537	gmhB			
BOLPKDDJ_00006	mRNA	537	gmhB			
BOLPKDDJ_00006	CDS	537	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
BOLPKDDJ_00007	gene	1617				
BOLPKDDJ_00007	mRNA	1617				
BOLPKDDJ_00007	CDS	1617				hypothetical protein
BOLPKDDJ_00008	gene	2058	glyS			
BOLPKDDJ_00008	mRNA	2058	glyS			
BOLPKDDJ_00008	CDS	2058	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
BOLPKDDJ_00009	gene	948	glyQ			
BOLPKDDJ_00009	mRNA	948	glyQ			
BOLPKDDJ_00009	CDS	948	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
BOLPKDDJ_00010	gene	552	tag			
BOLPKDDJ_00010	mRNA	552	tag			
BOLPKDDJ_00010	CDS	552	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
BOLPKDDJ_00011	gene	888	lpxL_1			
BOLPKDDJ_00011	mRNA	888	lpxL_1			
BOLPKDDJ_00011	CDS	888	lpxL_1	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
BOLPKDDJ_00012	gene	267				
BOLPKDDJ_00012	mRNA	267				
BOLPKDDJ_00012	CDS	267				hypothetical protein
BOLPKDDJ_00013	gene	654	yhhQ			
BOLPKDDJ_00013	mRNA	654	yhhQ			
BOLPKDDJ_00013	CDS	654	yhhQ		COG1738	Queuosine precursor transporter
BOLPKDDJ_00014	gene	273				
BOLPKDDJ_00014	mRNA	273				
BOLPKDDJ_00014	CDS	273				hypothetical protein
BOLPKDDJ_00015	gene	318				
BOLPKDDJ_00015	mRNA	318				
BOLPKDDJ_00015	CDS	318				hypothetical protein
BOLPKDDJ_00016	gene	1374	trkA			
BOLPKDDJ_00016	mRNA	1374	trkA			
BOLPKDDJ_00016	CDS	1374	trkA		COG0569	Trk system potassium uptake protein TrkA
BOLPKDDJ_00017	gene	1305	rsmB			
BOLPKDDJ_00017	mRNA	1305	rsmB			
BOLPKDDJ_00017	CDS	1305	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
BOLPKDDJ_00018	gene	945	fmt			
BOLPKDDJ_00018	mRNA	945	fmt			
BOLPKDDJ_00018	CDS	945	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
BOLPKDDJ_00019	gene	507	def_1			
BOLPKDDJ_00019	mRNA	507	def_1			
BOLPKDDJ_00019	CDS	507	def_1	3.5.1.88	COG0242	Peptide deformylase
BOLPKDDJ_00020	gene	1026				
BOLPKDDJ_00020	mRNA	1026				
BOLPKDDJ_00020	CDS	1026				hypothetical protein
BOLPKDDJ_00021	gene	1089				
BOLPKDDJ_00021	mRNA	1089				
BOLPKDDJ_00021	CDS	1089				hypothetical protein
BOLPKDDJ_00022	gene	558	tsaC			
BOLPKDDJ_00022	mRNA	558	tsaC			
BOLPKDDJ_00022	CDS	558	tsaC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
BOLPKDDJ_00023	gene	978	qorA_1			
BOLPKDDJ_00023	mRNA	978	qorA_1			
BOLPKDDJ_00023	CDS	978	qorA_1	1.6.5.5	COG0604	Quinone oxidoreductase 1
BOLPKDDJ_00024	gene	918	hemF			
BOLPKDDJ_00024	mRNA	918	hemF			
BOLPKDDJ_00024	CDS	918	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
BOLPKDDJ_00025	gene	825	aroE_1			
BOLPKDDJ_00025	mRNA	825	aroE_1			
