locus_tag	ftype	length_bp	gene	EC_number	COG	product
OHDNGLAN_00001	gene	2055				
OHDNGLAN_00001	mRNA	2055				
OHDNGLAN_00001	rRNA	2055				23S ribosomal RNA (partial)
OHDNGLAN_00002	gene	110				
OHDNGLAN_00002	mRNA	110				
OHDNGLAN_00002	rRNA	110				5S ribosomal RNA
OHDNGLAN_00003	gene	930	metR			
OHDNGLAN_00003	mRNA	930	metR			
OHDNGLAN_00003	CDS	930	metR			HTH-type transcriptional regulator MetR
OHDNGLAN_00004	gene	720				
OHDNGLAN_00004	mRNA	720				
OHDNGLAN_00004	CDS	720				hypothetical protein
OHDNGLAN_00005	gene	330				
OHDNGLAN_00005	mRNA	330				
OHDNGLAN_00005	CDS	330				hypothetical protein
OHDNGLAN_00006	gene	234				
OHDNGLAN_00006	mRNA	234				
OHDNGLAN_00006	CDS	234				hypothetical protein
OHDNGLAN_00007	gene	1581	prfC			
OHDNGLAN_00007	mRNA	1581	prfC			
OHDNGLAN_00007	CDS	1581	prfC		COG4108	Peptide chain release factor RF3
OHDNGLAN_00008	gene	789	fabI			
OHDNGLAN_00008	mRNA	789	fabI			
OHDNGLAN_00008	CDS	789	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
OHDNGLAN_00009	gene	1980	rnb			
OHDNGLAN_00009	mRNA	1980	rnb			
OHDNGLAN_00009	CDS	1980	rnb	3.1.13.1	COG4776	Exoribonuclease 2
OHDNGLAN_00010	gene	642	pxpB			
OHDNGLAN_00010	mRNA	642	pxpB			
OHDNGLAN_00010	CDS	642	pxpB	3.5.2.9	COG2049	5-oxoprolinase subunit B
OHDNGLAN_00011	gene	930	pxpC			
OHDNGLAN_00011	mRNA	930	pxpC			
OHDNGLAN_00011	CDS	930	pxpC	3.5.2.9	COG1984	5-oxoprolinase subunit C
OHDNGLAN_00012	gene	738	pxpA			
OHDNGLAN_00012	mRNA	738	pxpA			
OHDNGLAN_00012	CDS	738	pxpA	3.5.2.9	COG1540	5-oxoprolinase subunit A
OHDNGLAN_00013	gene	1194	mntH			
OHDNGLAN_00013	mRNA	1194	mntH			
OHDNGLAN_00013	CDS	1194	mntH			Divalent metal cation transporter MntH
OHDNGLAN_00014	gene	1335	argG			
OHDNGLAN_00014	mRNA	1335	argG			
OHDNGLAN_00014	CDS	1335	argG	6.3.4.5	COG0137	Argininosuccinate synthase
OHDNGLAN_00015	gene	873	purC			
OHDNGLAN_00015	mRNA	873	purC			
OHDNGLAN_00015	CDS	873	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
OHDNGLAN_00016	gene	2346	mrcB			
OHDNGLAN_00016	mRNA	2346	mrcB			
OHDNGLAN_00016	CDS	2346	mrcB		COG0744	Penicillin-binding protein 1B
OHDNGLAN_00017	gene	399				
OHDNGLAN_00017	mRNA	399				
OHDNGLAN_00017	CDS	399				hypothetical protein
OHDNGLAN_00018	gene	345	erpA			
OHDNGLAN_00018	mRNA	345	erpA			
OHDNGLAN_00018	CDS	345	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
OHDNGLAN_00019	gene	807	map			
OHDNGLAN_00019	mRNA	807	map			
OHDNGLAN_00019	CDS	807	map	3.4.11.18	COG0024	Methionine aminopeptidase
OHDNGLAN_00020	gene	2592	glnD			
OHDNGLAN_00020	mRNA	2592	glnD			
OHDNGLAN_00020	CDS	2592	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
OHDNGLAN_00021	gene	1068	wecA			
OHDNGLAN_00021	mRNA	1068	wecA			
OHDNGLAN_00021	CDS	1068	wecA	2.7.8.33	COG0472	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
OHDNGLAN_00022	gene	76				
OHDNGLAN_00022	mRNA	76				
OHDNGLAN_00022	tRNA	76				tRNA-Gly(gcc)
OHDNGLAN_00023	gene	76				
OHDNGLAN_00023	mRNA	76				
OHDNGLAN_00023	tRNA	76				tRNA-Gly(gcc)
OHDNGLAN_00024	gene	549	orn			
OHDNGLAN_00024	mRNA	549	orn			
OHDNGLAN_00024	CDS	549	orn	3.1.-.-	COG1949	Oligoribonuclease
OHDNGLAN_00025	gene	1041	rsgA			
OHDNGLAN_00025	mRNA	1041	rsgA			
OHDNGLAN_00025	CDS	1041	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
OHDNGLAN_00026	gene	258	ptsH			
OHDNGLAN_00026	mRNA	258	ptsH			
OHDNGLAN_00026	CDS	258	ptsH		COG1925	Phosphocarrier protein HPr
OHDNGLAN_00027	gene	1728	ptsI			
OHDNGLAN_00027	mRNA	1728	ptsI			
OHDNGLAN_00027	CDS	1728	ptsI	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
OHDNGLAN_00028	gene	501	crr			
OHDNGLAN_00028	mRNA	501	crr			
OHDNGLAN_00028	CDS	501	crr		COG2190	PTS system glucose-specific EIIA component
OHDNGLAN_00029	gene	213				
OHDNGLAN_00029	mRNA	213				
OHDNGLAN_00029	CDS	213				hypothetical protein
OHDNGLAN_00030	gene	366				
OHDNGLAN_00030	mRNA	366				
OHDNGLAN_00030	CDS	366			COG3111	putative protein
OHDNGLAN_00031	gene	666	qseB			
OHDNGLAN_00031	mRNA	666	qseB			
OHDNGLAN_00031	CDS	666	qseB			Transcriptional regulatory protein QseB
OHDNGLAN_00032	gene	1356	qseC			
OHDNGLAN_00032	mRNA	1356	qseC			
OHDNGLAN_00032	CDS	1356	qseC	2.7.13.3		Sensor protein QseC
OHDNGLAN_00033	gene	2028	betS			
OHDNGLAN_00033	mRNA	2028	betS			
OHDNGLAN_00033	CDS	2028	betS			Glycine betaine/proline betaine transporter BetS
OHDNGLAN_00034	gene	1476	pepA			
OHDNGLAN_00034	mRNA	1476	pepA			
OHDNGLAN_00034	CDS	1476	pepA	3.4.11.1	COG0260	Cytosol aminopeptidase
OHDNGLAN_00035	gene	1104	lptF			
OHDNGLAN_00035	mRNA	1104	lptF			
OHDNGLAN_00035	CDS	1104	lptF		COG0795	Lipopolysaccharide export system permease protein LptF
OHDNGLAN_00036	gene	1077	lptG			
OHDNGLAN_00036	mRNA	1077	lptG			
OHDNGLAN_00036	CDS	1077	lptG		COG0795	Lipopolysaccharide export system permease protein LptG
OHDNGLAN_00037	gene	2271	metE			
OHDNGLAN_00037	mRNA	2271	metE			
OHDNGLAN_00037	CDS	2271	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
OHDNGLAN_00038	gene	744				
OHDNGLAN_00038	mRNA	744				
OHDNGLAN_00038	CDS	744				hypothetical protein
OHDNGLAN_00039	gene	1206				
