#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
AJO87055.1	71421.HI_1739	3.25e-224	617.0	COG0583@1|root,COG0583@2|Bacteria,1MUIX@1224|Proteobacteria,1RRF3@1236|Gammaproteobacteria,1Y7AY@135625|Pasteurellales	135625|Pasteurellales	K	Transcriptional regulator	metR	-	-	ko:K03576	-	-	-	-	ko00000,ko03000	-	-	-	HTH_1,LysR_substrate
AJO87056.1	71421.HI_1738	4.88e-158	444.0	COG1296@1|root,COG1296@2|Bacteria,1RJ3R@1224|Proteobacteria,1S4E7@1236|Gammaproteobacteria,1Y7GW@135625|Pasteurellales	135625|Pasteurellales	E	branched-chain amino acid	azlC	-	-	-	-	-	-	-	-	-	-	-	AzlC
AJO87057.1	71421.HI_1737	2.31e-69	209.0	COG1687@1|root,COG1687@2|Bacteria,1NC1B@1224|Proteobacteria,1SGFW@1236|Gammaproteobacteria,1Y8U4@135625|Pasteurellales	135625|Pasteurellales	E	branched-chain amino acid	azlD	-	-	-	-	-	-	-	-	-	-	-	AzlD
AJO87058.1	1028803.GG9_1190	5.29e-40	133.0	2E3YH@1|root,33AAA@2|Bacteria,1NGJD@1224|Proteobacteria,1T208@1236|Gammaproteobacteria,1Y97J@135625|Pasteurellales	135625|Pasteurellales	S	Bacterial inner membrane protein	-	-	-	-	-	-	-	-	-	-	-	-	Imp-YgjV
AJO87059.1	1028803.GG9_1188	0.0	1031.0	COG4108@1|root,COG4108@2|Bacteria,1MU7X@1224|Proteobacteria,1RMFT@1236|Gammaproteobacteria,1Y7DC@135625|Pasteurellales	135625|Pasteurellales	J	Increases the formation of ribosomal termination complexes and stimulates activities of RF-1 and RF-2. It binds guanine nucleotides and has strong preference for UGA stop codons. It may interact directly with the ribosome. The stimulation of RF- 1 and RF-2 is significantly reduced by GTP and GDP, but not by GMP	prfC	GO:0003674,GO:0003676,GO:0003723,GO:0003747,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006412,GO:0006415,GO:0006518,GO:0006807,GO:0008079,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016043,GO:0016150,GO:0019538,GO:0022411,GO:0032984,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0043624,GO:0043933,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:0071840,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576	-	ko:K02837	-	-	-	-	ko00000,ko03012	-	-	-	GTP_EFTU,GTP_EFTU_D2,RF3_C
AJO87060.1	1028803.GG9_1186	6.85e-182	506.0	COG0623@1|root,COG0623@2|Bacteria,1MV05@1224|Proteobacteria,1RNMW@1236|Gammaproteobacteria,1Y70I@135625|Pasteurellales	135625|Pasteurellales	I	Enoyl- acyl-carrier-protein reductase NADH	fabI	GO:0003674,GO:0003824,GO:0004312,GO:0004318,GO:0006082,GO:0006629,GO:0006631,GO:0006633,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009987,GO:0016043,GO:0016053,GO:0016491,GO:0016627,GO:0016628,GO:0016740,GO:0016746,GO:0016747,GO:0019752,GO:0022607,GO:0030497,GO:0032787,GO:0043436,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0046394,GO:0051259,GO:0051260,GO:0051262,GO:0051289,GO:0055114,GO:0065003,GO:0071704,GO:0071840,GO:0072330,GO:1901576	1.3.1.10,1.3.1.9	ko:K00208	ko00061,ko00333,ko00780,ko01100,ko01130,ko01212,map00061,map00333,map00780,map01100,map01130,map01212	M00083,M00572	R01404,R04429,R04430,R04724,R04725,R04955,R04956,R04958,R04959,R04961,R04962,R04966,R04967,R04969,R04970,R07765,R10118,R10122,R11671	RC00052,RC00076,RC00120	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	adh_short_C2
AJO87061.1	71421.HI_1733	0.0	1269.0	COG4776@1|root,COG4776@2|Bacteria,1P563@1224|Proteobacteria,1RP5G@1236|Gammaproteobacteria,1Y7MM@135625|Pasteurellales	135625|Pasteurellales	J	Involved in mRNA degradation. Hydrolyzes single-stranded polyribonucleotides processively in the 3' to 5' direction	rnb	-	3.1.13.1	ko:K01147	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	OB_RNB,RNB,S1
AJO87062.1	71421.HI_1731	6.94e-153	429.0	COG2049@1|root,COG2049@2|Bacteria,1MWRB@1224|Proteobacteria,1RQIQ@1236|Gammaproteobacteria,1Y6UZ@135625|Pasteurellales	135625|Pasteurellales	E	Allophanate hydrolase subunit 1	Z012_10775	-	-	-	-	-	-	-	-	-	-	-	CT_C_D
AJO87063.1	71421.HI_1730	1.55e-222	613.0	COG1984@1|root,COG1984@2|Bacteria,1MU9H@1224|Proteobacteria,1RR39@1236|Gammaproteobacteria,1Y7K4@135625|Pasteurellales	135625|Pasteurellales	E	Carboxyltransferase domain, subdomain A and B	Z012_10780	-	-	-	-	-	-	-	-	-	-	-	CT_A_B
AJO87064.1	71421.HI_1729	1.96e-164	461.0	COG1540@1|root,COG1540@2|Bacteria,1MUYV@1224|Proteobacteria,1RSCZ@1236|Gammaproteobacteria,1Y7GU@135625|Pasteurellales	135625|Pasteurellales	S	Belongs to the UPF0271 (lamB) family	Z012_10785	-	-	ko:K07160	-	-	-	-	ko00000	-	-	-	LamB_YcsF
