#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	prediction	combined_score
dnaA	dnaN	2989129	2989128	71421.HI0993	71421.HI0992	0.934	0	0.240	0	0.115	0.637	0	0.978	0	0.999
guaA	xanthosine 5'-.	2988381	-100001190	71421.HI0222	-1.CID100001190	0	0	0	0	0	0.898	0.994	0.258	0	0.999
accD	accC	2989374	2989107	71421.HI1260	71421.HI0972	0.653	0	0.472	0	0.118	0.781	0.987	0.899	0	0.999
guaA	guaB	2988381	2988379	71421.HI0222	71421.HI0221	0.801	0.290	0.384	0	0.999	0.412	0.993	0.969	0	0.999
HI_1678	guaA	2989760	2988381	71421.HI1678	71421.HI0222	0.680	0	0	0	0.915	0.412	0.941	0.530	0	0.999
fabH	fabD	2988317	2988316	71421.HI0157	71421.HI0156	0.653	0.720	0.715	0	0.624	0	0.986	0.559	0	0.999
dnaN	gyrB	2989128	2988706	71421.HI0992	71421.HI0567	0.653	0.428	0.273	0	0.243	0	0.802	0.976	0	0.999
accC	accB	2989107	2989106	71421.HI0972	71421.HI0971	0.813	0	0.678	0	0.706	0.960	0.978	0.911	0	0.999
purL	guaA	2988889	2988381	71421.HI0752	71421.HI0222	0.290	0	0	0	0.998	0	0	0.910	0	0.999
fabB	fabD	2989629	2988316	71421.HI1533	71421.HI0156	0.653	0.885	0.690	0	0.599	0.546	0.978	0.194	0	0.999
guaA	HI_0221.1	2988381	2988380	71421.HI0222	71421.HI0221.1	0.859	0	0.413	0.828	0.992	0	0.941	0.896	0	0.999
accD	accB	2989374	2989106	71421.HI1260	71421.HI0971	0.653	0	0.773	0	0.095	0	0.887	0.829	0	0.998
guaB	xanthosine 5'-.	2988379	-100001190	71421.HI0221	-1.CID100001190	0	0	0	0	0	0.839	0.988	0.194	0	0.998
accB	fabD	2989106	2988316	71421.HI0971	71421.HI0156	0.653	0	0	0	0.253	0.198	0.989	0.138	0	0.997
accC	fabD	2989107	2988316	71421.HI0972	71421.HI0156	0.653	0	0.166	0	0.211	0.198	0.982	0.099	0	0.996
fabB	fabH	2989629	2988317	71421.HI1533	71421.HI0157	0.653	0	0.311	0	0.561	0	0.943	0.455	0	0.996
accD	fabD	2989374	2988316	71421.HI1260	71421.HI0156	0.653	0	0.277	0	0.120	0	0.974	0.096	0	0.994
dnaA	gyrB	2989129	2988706	71421.HI0993	71421.HI0567	0.653	0	0	0	0	0	0	0.976	0	0.991
purL	guaB	2988889	2988379	71421.HI0752	71421.HI0221	0.290	0	0	0	0.461	0.744	0	0.910	0	0.990
accC	fabH	2989107	2988317	71421.HI0972	71421.HI0157	0.653	0	0.157	0	0.127	0	0.900	0.176	0	0.975
accB	fabH	2989106	2988317	71421.HI0971	71421.HI0157	0.653	0	0	0	0.120	0	0.900	0.142	0	0.970
accD	fabH	2989374	2988317	71421.HI1260	71421.HI0157	0.653	0	0	0	0.081	0	0.900	0.139	0	0.968
HI_1678	xanthosine 5'-.	2989760	-100001190	71421.HI1678	-1.CID100001190	0	0	0	0	0	0.577	0.897	0.119	0	0.959
accB	guaB	2989106	2988379	71421.HI0971	71421.HI0221	0	0	0	0	0.067	0.203	0.809	0.488	0	0.917
HI_0221.1	xanthosine 5'-.	2988380	-100001190	71421.HI0221.1	-1.CID100001190	0	0	0	0	0	0.644	0.725	0.130	0	0.909
accC	guaB	2989107	2988379	71421.HI0972	71421.HI0221	0	0	0	0	0	0.233	0.810	0.202	0	0.873
fabB	accC	2989629	2989107	71421.HI1533	71421.HI0972	0.653	0	0.172	0	0.228	0.227	0.209	0.175	0	0.862
HI_1678	accB	2989760	2989106	71421.HI1678	71421.HI0971	0	0	0	0	0	0.203	0.809	0.130	0	0.855
HI_1678	accC	2989760	2989107	71421.HI1678	71421.HI0972	0	0	0	0	0	0.233	0.810	0.068	0	0.852
HI_1678	purL	2989760	2988889	71421.HI1678	71421.HI0752	0.182	0	0	0	0.085	0.601	0	0.530	0	0.840
purL	xanthosine 5'-.	2988889	-100001190	71421.HI0752	-1.CID100001190	0	0	0	0	0	0	0.777	0.225	0	0.822
HI_0221.1	guaB	2988380	2988379	71421.HI0221.1	71421.HI0221	0.627	0	0.778	0.972	0	0.518	0	0.810	0	0.821
fabB	accB	2989629	2989106	71421.HI1533	71421.HI0971	0.653	0	0	0	0.128	0.227	0.213	0.178	0	0.821
fabB	accD	2989629	2989374	71421.HI1533	71421.HI1260	0.653	0	0.198	0	0	0	0.194	0.142	0	0.781
purL	HI_0221.1	2988889	2988380	71421.HI0752	71421.HI0221.1	0.282	0	0	0	0.343	0.112	0	0.530	0	0.776
dnaN	guaA	2989128	2988381	71421.HI0992	71421.HI0222	0.064	0	0.284	0	0.490	0	0	0.192	0	0.686
alaS	guaA	2988951	2988381	71421.HI0814	71421.HI0222	0	0	0	0	0.672	0	0	0	0	0.672
accC	guaA	2989107	2988381	71421.HI0972	71421.HI0222	0.079	0	0	0	0.301	0	0	0.527	0	0.669
HI_1678	guaB	2989760	2988379	71421.HI1678	71421.HI0221	0.177	0	0	0	0	0.518	0	0.140	0	0.629
HI_1678	HI_0221.1	2989760	2988380	71421.HI1678	71421.HI0221.1	0.160	0	0	0	0	0.518	0	0.138	0	0.620
gyrB	guaA	2988706	2988381	71421.HI0567	71421.HI0222	0	0	0	0	0.136	0	0	0.562	0	0.605
glnA	gyrB	2989002	2988706	71421.HI0865	71421.HI0567	0	0	0	0	0	0	0	0.588	0	0.588
ftsY	gyrB	2988905	2988706	71421.HI0768	71421.HI0567	0	0	0	0	0.098	0	0	0.545	0	0.572
dnaA	guaA	2989129	2988381	71421.HI0993	71421.HI0222	0	0	0	0	0.086	0	0	0.528	0	0.550
dnaA	ftsY	2989129	2988905	71421.HI0993	71421.HI0768	0	0	0	0	0	0	0	0.524	0	0.524
alaS	purL	2988951	2988889	71421.HI0814	71421.HI0752	0.064	0	0	0	0.489	0	0	0	0	0.501
glnA	guaA	2989002	2988381	71421.HI0865	71421.HI0222	0.156	0	0	0	0.219	0	0	0.189	0	0.418
