#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	prediction	combined_score
guaC	guaA	3083652	3082779	93062.SACOL1371	93062.SACOL0461	0.654	0	0.391	0	0.992	0	0.987	0.828	0	0.999
fabD	fabF	3083532	3083284	93062.SACOL1244	93062.SACOL0988	0.654	0.878	0.778	0	0.642	0.528	0.900	0.226	0	0.999
glnA	glnR	3083612	3083611	93062.SACOL1329	93062.SACOL1328	0.918	0	0.336	0	0.267	0.994	0	0.943	0	0.999
guaA	guaB	3082779	3082778	93062.SACOL0461	93062.SACOL0460	0.918	0	0.633	0	0.999	0.400	0.987	0.943	0	0.999
guaA	xanthosine 5'-.	3082779	-100001190	93062.SACOL0461	-1.CID100001190	0	0	0	0	0	0.898	0.994	0.144	0	0.999
ffh	ftsY	3083540	3083538	93062.SACOL1253	93062.SACOL1251	0.908	0	0.782	0.692	0.269	0.993	0.879	0.972	0	0.999
accB	accC	3083840	3083839	93062.SACOL1572	93062.SACOL1571	0.949	0	0.652	0	0.708	0.832	0.977	0.827	0	0.999
SACOL1662	accC	3083929	3083839	93062.SACOL1662	93062.SACOL1571	0.654	0	0.654	0	0.708	0.832	0.977	0.638	0	0.999
guaA	xpt	3082779	3082776	93062.SACOL0461	93062.SACOL0458	0.725	0	0	0	0.660	0.549	0.900	0.943	0	0.999
polA	dnaN	3084001	3082342	93062.SACOL1737	93062.SACOL0002	0	0	0	0	0.460	0.994	0.848	0.455	0	0.999
guaB	xanthosine 5'-.	3082778	-100001190	93062.SACOL0460	-1.CID100001190	0	0	0	0	0	0.839	0.988	0.183	0	0.998
guaB	xpt	3082778	3082776	93062.SACOL0460	93062.SACOL0458	0.738	0	0	0	0.243	0	0.900	0.911	0	0.998
dnaN	dnaA	3082342	3082341	93062.SACOL0002	93062.SACOL0001	0.804	0	0.483	0	0.156	0.810	0	0.917	0	0.998
guaC	xpt	3083652	3082776	93062.SACOL1371	93062.SACOL0458	0	0	0	0	0.178	0	0.900	0.829	0	0.984
accB	fabD	3083840	3083532	93062.SACOL1572	93062.SACOL1244	0.654	0	0	0	0.269	0.221	0.900	0.160	0	0.980
SACOL1662	fabD	3083929	3083532	93062.SACOL1662	93062.SACOL1244	0.654	0	0	0	0.269	0.221	0.900	0.160	0	0.980
accC	fabD	3083839	3083532	93062.SACOL1571	93062.SACOL1244	0.654	0	0	0	0.237	0.221	0.900	0.126	0	0.978
guaC	guaB	3083652	3082778	93062.SACOL1371	93062.SACOL0460	0.147	0	0.721	0.742	0	0.508	0.900	0.827	0	0.970
guaC	xanthosine 5'-.	3083652	-100001190	93062.SACOL1371	-1.CID100001190	0	0	0	0	0	0.644	0.725	0.160	0	0.913
SACOL1662	guaB	3083929	3082778	93062.SACOL1662	93062.SACOL0460	0	0	0	0	0.079	0.223	0.792	0.439	0	0.905
accB	guaB	3083840	3082778	93062.SACOL1572	93062.SACOL0460	0	0	0	0	0.079	0.223	0.792	0.439	0	0.905
xpt	xanthosine 5'-.	3082776	-100001190	93062.SACOL0458	-1.CID100001190	0	0	0	0	0	0	0.900	0	0	0.900
accC	guaB	3083839	3082778	93062.SACOL1571	93062.SACOL0460	0	0	0	0	0	0.231	0.793	0.150	0	0.852
accC	fabF	3083839	3083284	93062.SACOL1571	93062.SACOL0988	0.654	0	0.164	0	0.267	0.230	0	0.219	0	0.849
SACOL1662	accB	3083929	3083840	93062.SACOL1662	93062.SACOL1572	0	0	0.782	0.724	0	0	0.800	0	0	0.842
accB	fabF	3083840	3083284	93062.SACOL1572	93062.SACOL0988	0.654	0	0	0	0.179	0.230	0	0.219	0	0.806
SACOL1662	fabF	3083929	3083284	93062.SACOL1662	93062.SACOL0988	0.654	0	0	0	0.179	0.230	0	0.219	0	0.806
ftsY	dnaA	3083538	3082341	93062.SACOL1251	93062.SACOL0001	0	0	0	0	0	0	0	0.790	0	0.790
alaS	guaA	3083940	3082779	93062.SACOL1673	93062.SACOL0461	0	0	0	0	0.696	0	0	0	0	0.696
accC	guaA	3083839	3082779	93062.SACOL1571	93062.SACOL0461	0.089	0	0	0	0.320	0	0	0.440	0	0.622
guaA	dnaN	3082779	3082342	93062.SACOL0461	93062.SACOL0002	0.069	0	0	0	0.487	0	0	0.225	0	0.597
guaA	dnaA	3082779	3082341	93062.SACOL0461	93062.SACOL0001	0	0	0	0	0.104	0	0	0.502	0	0.534
glnA	guaB	3083612	3082778	93062.SACOL1329	93062.SACOL0460	0.100	0	0	0	0.156	0	0	0.422	0	0.522
glnA	guaA	3083612	3082779	93062.SACOL1329	93062.SACOL0461	0.147	0	0	0	0.266	0	0	0.222	0	0.470
guaC	dnaN	3083652	3082342	93062.SACOL1371	93062.SACOL0002	0	0	0	0	0.068	0.131	0.360	0.091	0	0.465
