query_id	subject_id	pct_identity	aln_length	n_of_mismatches	gap_openings	q_start	q_end	s_start	s_end	e_value	bit_score
PJKHBDOM_00001	DEG10650027	100.000	453	0	0	1	453	1	453	0.0	928
PJKHBDOM_00002	DEG10650034	100.000	377	0	0	1	377	1	377	0.0	761
PJKHBDOM_00005	DEG10650076	100.000	644	0	0	1	644	1	644	0.0	1327
PJKHBDOM_00006	DEG10650075	99.887	886	1	0	1	886	1	886	0.0	1782
PJKHBDOM_00009	DEG10650165	100.000	428	0	0	1	428	1	428	0.0	889
PJKHBDOM_00014	DEG10650249	99.847	655	1	0	1	655	1	655	0.0	1339
PJKHBDOM_00016	DEG10650029	99.785	466	1	0	1	466	1	466	0.0	960
PJKHBDOM_00020	DEG10650195	100.000	233	0	0	1	233	1	233	1.35e-175	476
PJKHBDOM_00021	DEG10650194	99.836	608	1	0	1	608	1	608	0.0	1234
PJKHBDOM_00058	DEG10650294	23.599	339	204	12	25	356	4	294	3.23e-15	68.9
PJKHBDOM_00059	DEG10650294	24.000	275	174	9	258	518	41	294	1.40e-10	56.2
PJKHBDOM_00074	DEG10650110	25.200	500	298	19	148	608	62	524	7.28e-17	77.8
PJKHBDOM_00094	DEG10650294	24.000	275	174	9	258	518	41	294	1.40e-10	56.2
PJKHBDOM_00147	DEG10650039	40.476	252	137	4	5	255	3	242	1.56e-52	165
PJKHBDOM_00162	DEG10650262	32.645	242	141	6	2	237	6	231	8.82e-31	109
PJKHBDOM_00193	DEG10650239	27.619	210	133	6	23	215	20	227	1.77e-22	87.8
PJKHBDOM_00198	DEG10650270	23.423	111	82	2	10	119	9	117	7.91e-06	36.2
PJKHBDOM_00220	DEG10650262	33.054	239	143	6	279	514	10	234	3.26e-35	127
PJKHBDOM_00220	DEG10650262	33.465	254	130	8	11	252	12	238	5.85e-32	118
PJKHBDOM_00229	DEG10650262	33.173	208	135	3	20	224	25	231	1.14e-32	117
PJKHBDOM_00238	DEG10650195	30.275	109	72	2	3	110	4	109	1.60e-08	47.4
PJKHBDOM_00265	DEG10650225	21.622	333	222	11	28	341	26	338	2.88e-09	51.2
PJKHBDOM_00268	DEG10650292	76.471	238	56	0	1	238	1	238	3.06e-139	384
PJKHBDOM_00269	DEG10650225	80.938	341	65	0	1	341	1	341	0.0	585
PJKHBDOM_00270	DEG10650176	30.282	284	181	7	293	563	110	389	6.39e-34	126
PJKHBDOM_00272	DEG10650176	100.000	389	0	0	1	389	1	389	0.0	810
PJKHBDOM_00273	DEG10650292	100.000	238	0	0	1	238	1	238	8.61e-179	484
PJKHBDOM_00274	DEG10650225	100.000	341	0	0	10	350	1	341	0.0	699
PJKHBDOM_00275	DEG10650176	30.576	278	176	7	296	560	115	388	3.80e-33	124
PJKHBDOM_00279	DEG10650195	29.358	109	72	3	2	108	4	109	1.04e-07	45.1
PJKHBDOM_00295	DEG10650239	29.167	216	132	7	1	196	2	216	1.26e-17	73.6
PJKHBDOM_00332	DEG10650239	31.532	222	144	7	1	215	2	222	4.97e-30	107
PJKHBDOM_00345	DEG10650294	26.906	223	135	10	171	392	92	287	2.12e-11	57.8
PJKHBDOM_00362	DEG10650168	63.473	167	50	1	1	156	1	167	1.18e-72	209
PJKHBDOM_00363	DEG10650028	42.553	47	21	1	257	297	416	462	5.07e-06	40.8
PJKHBDOM_00404	DEG10650246	41.667	204	109	4	429	624	75	276	2.27e-47	162
PJKHBDOM_00441	DEG10650173	26.066	211	135	6	19	222	38	234	3.48e-14	64.7
PJKHBDOM_00454	DEG10650107	37.008	127	57	3	6	132	162	265	1.28e-20	86.3
PJKHBDOM_00456	DEG10650157	100.000	98	0	0	1	98	1	98	2.63e-69	196
PJKHBDOM_00457	DEG10650168	99.401	167	1	0	1	167	1	167	7.68e-123	337
PJKHBDOM_00460	DEG10650294	36.842	76	47	1	23	98	217	291	1.24e-11	53.1
PJKHBDOM_00473	DEG10650186	35.314	303	188	4	206	504	6	304	4.07e-52	173
PJKHBDOM_00483	DEG10650242	99.805	513	1	0	1	513	1	513	0.0	1049
PJKHBDOM_00490	DEG10650055	25.189	663	424	13	2	599	9	664	8.45e-68	228
PJKHBDOM_00498	DEG10650205	41.358	162	91	2	1	161	1	159	3.27e-47	145
PJKHBDOM_00512	DEG10650228	29.293	99	54	2	17	99	18	116	4.34e-08	49.7
PJKHBDOM_00548	DEG10650105	98.178	494	9	0	1	494	1	494	0.0	972
PJKHBDOM_00549	DEG10650074	97.891	901	19	0	1	901	1	901	0.0	1853
PJKHBDOM_00550	DEG10650270	100.000	120	0	0	1	120	1	120	4.32e-86	240
PJKHBDOM_00558	DEG10650262	37.083	240	142	5	2	238	7	240	2.72e-42	142
PJKHBDOM_00575	DEG10650035	99.823	565	1	0	1	565	1	565	0.0	1168
PJKHBDOM_00576	DEG10650269	100.000	105	0	0	1	105	1	105	5.17e-73	206
PJKHBDOM_00582	DEG10650182	100.000	205	0	0	1	205	1	205	1.64e-153	417
PJKHBDOM_00584	DEG10650036	99.026	308	3	0	1	308	1	308	0.0	626
PJKHBDOM_00590	DEG10650089	99.391	657	4	0	1	657	1	657	0.0	1344
PJKHBDOM_00599	DEG10650061	98.837	86	1	0	1	86	1	86	5.32e-56	173
PJKHBDOM_00600	DEG10650061	99.407	337	2	0	1	337	114	450	0.0	684
PJKHBDOM_00601	DEG10650127	100.000	321	0	0	1	321	1	321	0.0	652
PJKHBDOM_00603	DEG10650129	100.000	190	0	0	1	190	1	190	2.11e-143	391
PJKHBDOM_00604	DEG10650125	25.197	254	164	6	604	836	250	498	2.32e-09	54.7
PJKHBDOM_00605	DEG10650098	22.151	465	317	12	2	423	3	465	1.78e-13	65.9
PJKHBDOM_00608	DEG10650026	100.000	130	0	0	1	130	1	130	8.37e-93	258
PJKHBDOM_00610	DEG10650180	98.608	431	6	0	1	431	1	431	0.0	880
PJKHBDOM_00615	DEG10650048	94.796	269	12	1	1	269	1	267	0.0	528
PJKHBDOM_00616	DEG10650265	99.174	121	1	0	1	121	1	121	1.48e-88	246
PJKHBDOM_00617	DEG10650047	96.835	158	5	0	1	158	1	158	3.10e-115	317
PJKHBDOM_00618	DEG10650086	99.798	495	1	0	21	515	1	495	0.0	1018
PJKHBDOM_00641	DEG10650202	26.126	333	172	15	504	783	69	380	6.81e-08	48.9
PJKHBDOM_00644	DEG10650063	99.793	484	1	0	1	484	1	484	0.0	998
PJKHBDOM_00645	DEG10650018	99.535	215	1	0	12	226	1	215	1.19e-160	437
PJKHBDOM_00646	DEG10650019	98.927	466	5	0	1	466	1	466	0.0	957
PJKHBDOM_00652	DEG10650273	100.000	182	0	0	1	182	1	182	2.87e-133	364
PJKHBDOM_00653	DEG10650280	100.000	140	0	0	1	140	1	140	1.66e-101	281
PJKHBDOM_00656	DEG10650144	100.000	166	0	0	1	166	1	166	6.78e-120	329
