query_id	subject_id	pct_identity	aln_length	n_of_mismatches	gap_openings	q_start	q_end	s_start	s_end	e_value	bit_score
OHDNGLAN_00003	DEG10050429	28.415	183	125	4	22	204	22	198	1.44e-11	58.5
OHDNGLAN_00004	DEG10050640	97.059	238	7	0	1	238	1	238	1.02e-167	457
OHDNGLAN_00005	DEG10050639	98.165	109	2	0	1	109	1	109	1.02e-75	214
OHDNGLAN_00007	DEG10050638	98.102	527	9	1	1	526	1	527	0.0	1072
OHDNGLAN_00008	DEG10050637	98.855	262	3	0	1	262	1	262	0.0	532
OHDNGLAN_00009	DEG10050636	96.662	659	22	0	1	659	1	659	0.0	1332
OHDNGLAN_00010	DEG10050635	99.061	213	2	0	1	213	1	213	4.95e-159	433
OHDNGLAN_00013	DEG10050634	98.741	397	5	0	1	397	1	397	0.0	770
OHDNGLAN_00015	DEG10050633	99.310	290	2	0	1	290	1	290	0.0	594
OHDNGLAN_00016	DEG10050632	99.360	781	5	0	1	781	1	781	0.0	1604
OHDNGLAN_00019	DEG10050631	99.627	268	1	0	1	268	1	268	0.0	549
OHDNGLAN_00024	DEG10050627	98.901	182	2	0	1	182	1	182	2.38e-136	373
OHDNGLAN_00031	DEG10050626	97.738	221	5	0	1	221	1	221	2.07e-162	442
OHDNGLAN_00034	DEG10050625	96.334	491	18	0	1	491	1	491	0.0	981
OHDNGLAN_00035	DEG10050624	97.548	367	9	0	1	367	1	367	0.0	726
OHDNGLAN_00036	DEG10050623	95.810	358	15	0	1	358	1	358	0.0	677
OHDNGLAN_00038	DEG10050622	98.381	247	4	0	1	247	1	247	0.0	499
OHDNGLAN_00039	DEG10050621	98.005	401	8	0	1	401	1	401	0.0	775
OHDNGLAN_00041	DEG10050620	94.618	353	19	0	1	353	1	353	0.0	683
OHDNGLAN_00042	DEG10050619	93.774	257	16	0	1	257	1	257	0.0	501
OHDNGLAN_00043	DEG10050618	94.558	294	16	0	1	294	1	294	0.0	544
OHDNGLAN_00044	DEG10050617	98.467	261	4	0	7	267	1	261	0.0	534
OHDNGLAN_00047	DEG10050061	24.554	224	146	7	4	217	142	352	1.07e-12	61.2
OHDNGLAN_00047	DEG10050061	26.000	150	96	2	22	167	443	581	6.83e-07	43.9
OHDNGLAN_00048	DEG10050616	96.866	351	11	0	1	351	1	351	0.0	692
OHDNGLAN_00049	DEG10050615	99.125	457	4	0	1	457	1	457	0.0	891
OHDNGLAN_00050	DEG10050614	99.526	211	1	0	1	211	1	211	2.99e-159	433
OHDNGLAN_00051	DEG10050613	98.298	235	4	0	1	235	1	235	3.83e-173	470
OHDNGLAN_00053	DEG10050612	98.045	358	7	0	1	358	1	358	0.0	712
OHDNGLAN_00055	DEG10050611	98.964	193	2	0	1	193	1	193	7.62e-139	380
OHDNGLAN_00056	DEG10050613	39.437	142	80	2	15	156	39	174	4.65e-25	92.4
OHDNGLAN_00057	DEG10050610	97.734	353	8	0	1	353	1	353	0.0	702
OHDNGLAN_00064	DEG10050571	99.563	458	2	0	1	458	1	458	0.0	935
OHDNGLAN_00067	DEG10050570	99.512	205	1	0	1	205	1	205	2.86e-152	415
OHDNGLAN_00068	DEG10050311	31.618	136	66	7	34	142	180	315	4.19e-06	43.5
OHDNGLAN_00070	DEG10050569	99.281	278	2	0	1	278	1	278	0.0	567
OHDNGLAN_00079	DEG10050314	37.226	137	80	1	3	139	2	132	3.55e-23	91.3
OHDNGLAN_00083	DEG10050568	99.444	360	2	0	1	360	1	360	0.0	736
OHDNGLAN_00084	DEG10050567	99.573	468	2	0	1	468	37	504	0.0	954
OHDNGLAN_00085	DEG10050566	99.791	478	1	0	1	478	1	478	0.0	967
OHDNGLAN_00097	DEG10050564	99.446	361	2	0	1	361	1	361	0.0	740
OHDNGLAN_00099	DEG10050563	97.945	292	6	0	1	292	1	292	0.0	585
