Orthogroup	hi_protein	pa_protein	sa_mrsa_protein
OG0000000		AAG03542.1, AAG03581.1, AAG03606.1, AAG03607.1, AAG03622.1, AAG03868.1, AAG03880.1, AAG03917.1, AAG04090.1, AAG04097.1, AAG04128.1, AAG04204.1, AAG04205.1, AAG04266.1, AAG04530.1, AAG04653.1, AAG04698.1, AAG04802.1, AAG04959.1, AAG05215.1, AAG05242.1, AAG05386.1, AAG05442.1, AAG05464.1, AAG05503.1, AAG05594.1, AAG05722.1, AAG05857.1, AAG05885.1, AAG05898.1, AAG05989.1, AAG06146.1, AAG06234.1, AAG06267.1, AAG06309.1, AAG06510.1, AAG06613.1, AAG06786.1, AAG06982.1, AAG07163.1, AAG07165.1, AAG07382.1, AAG07590.1, AAG08374.1, AAG08414.1, AAG08470.1, AAG08564.1, AAG08603.1, AAG08767.1, AAG08813.1, AAG08822.1	
OG0000001	AJO87346.1	AAG03446.1, AAG03513.1, AAG03549.1, AAG03571.1, AAG04265.1, AAG04392.1, AAG04456.1, AAG04517.1, AAG04527.1, AAG04590.1, AAG04701.1, AAG04717.1, AAG05127.1, AAG05248.1, AAG05349.1, AAG05444.1, AAG05511.1, AAG05608.1, AAG05646.1, AAG05655.1, AAG05704.1, AAG05805.1, AAG05820.1, AAG05835.1, AAG05922.1, AAG05935.1, AAG06069.1, AAG06226.1, AAG06236.1, AAG06265.1, AAG06512.1, AAG06523.1, AAG06953.1, AAG07018.1, AAG07098.1, AAG07282.1, AAG07354.1, AAG07532.1, AAG07561.1, AAG07751.1	
OG0000002		AAG03559.1, AAG03674.1, AAG03679.1, AAG03727.1, AAG03964.1, AAG04236.1, AAG04250.1, AAG04389.1, AAG04496.1, AAG04509.1, AAG04570.1, AAG04822.1, AAG05116.1, AAG05240.1, AAG05460.1, AAG05521.1, AAG05588.1, AAG05955.1, AAG06159.1, AAG06206.1, AAG06258.1, AAG06565.1, AAG06646.1, AAG06699.1, AAG06731.1, AAG07089.1, AAG07212.1, AAG07334.1, AAG07720.1, AAG07755.1, AAG07989.1, AAG08228.1, AAG08314.1, AAG08344.1, AAG08402.1, AAG08680.1, AAG08827.1, AAG08872.1	WIO66686.1
OG0000003	AJO87714.1	AAG03637.1, AAG03805.1, AAG03953.1, AAG04169.1, AAG04282.1, AAG04650.1, AAG05008.1, AAG05102.1, AAG05239.1, AAG05669.1, AAG05877.1, AAG05899.1, AAG05907.1, AAG06084.1, AAG06305.1, AAG06608.1, AAG06657.1, AAG06959.1, AAG07169.1, AAG07285.1, AAG07457.1, AAG07481.1, AAG07507.1, AAG07571.1, AAG07615.1, AAG07824.1, AAG08727.1, AAG08765.1, AAG08774.1	WIO66014.1, WIO67353.1
OG0000004		AAG03836.1, AAG03895.1, AAG03896.1, AAG03897.1, AAG04135.1, AAG04268.1, AAG04409.1, AAG04411.1, AAG04576.1, AAG04673.1, AAG04924.1, AAG05020.1, AAG05403.1, AAG05938.1, AAG05940.1, AAG06203.1, AAG06277.1, AAG06981.1, AAG07359.1, AAG07586.1, AAG07823.1, AAG08364.1, AAG08379.1, AAG08380.1, AAG08405.1, AAG08572.1	WIO66125.1
OG0000005		AAG03566.1, AAG03570.1, AAG03800.1, AAG04640.1, AAG04812.1, AAG04950.1, AAG04997.1, AAG05035.1, AAG05318.1, AAG05949.1, AAG05961.1, AAG06040.1, AAG06042.1, AAG06176.1, AAG06255.1, AAG06308.1, AAG07095.1, AAG07678.1, AAG07695.1, AAG07697.1, AAG07698.1, AAG07908.1, AAG08021.1, AAG08229.1, AAG08300.1, AAG08457.1	
OG0000006	AJO87362.1	AAG03574.1, AAG03595.1, AAG03669.1, AAG03691.1, AAG03715.1, AAG03992.1, AAG05682.1, AAG05696.1, AAG05717.1, AAG05729.1, AAG06575.1, AAG06642.1, AAG06830.1, AAG06835.1, AAG06902.1, AAG06926.1, AAG06995.1, AAG07324.1	WIO65654.1, WIO66078.1, WIO66104.1, WIO66897.1, WIO66966.1
OG0000007	AJO88496.1	AAG04262.1, AAG04486.1, AAG04488.1, AAG04585.1, AAG04724.1, AAG05052.1, AAG05333.1, AAG05393.1, AAG05742.1, AAG05747.1, AAG05837.1, AAG06053.1, AAG07319.1, AAG07408.1, AAG07534.1, AAG07935.1, AAG07969.1, AAG08112.1, AAG08510.1, AAG08551.1, AAG08868.1, AAG08896.1	
OG0000008	AJO88214.1	AAG03620.1, AAG03869.1, AAG04218.1, AAG04628.1, AAG05011.1, AAG05474.1, AAG06105.1, AAG06133.1, AAG06322.1, AAG06337.1, AAG06441.1, AAG06614.1, AAG06817.1, AAG06897.1, AAG06974.1, AAG07083.1, AAG07381.1, AAG07395.1, AAG07539.1, AAG08442.1	WIO66560.1
OG0000009		AAG03552.1, AAG03579.1, AAG03629.1, AAG03680.1, AAG04144.1, AAG04347.1, AAG04414.1, AAG05501.1, AAG05601.1, AAG05808.1, AAG05893.1, AAG06088.1, AAG06148.1, AAG06426.1, AAG06976.1, AAG07524.1, AAG07566.1, AAG07889.1, AAG08283.1	
